x,y,z,idx
51.33790608676949,-1.243070245942807,0.0,0
29.49722443431905,-1.2430737891763728,0.0,1
-1.7379730826673132,-1.929782364563335,0.0,2
-37.77337896559259,-2.621106638207425,0.0,3
-65.50462528189567,-2.6211161242044128,0.0,4
-78.53425410264285,-3.295003081720224,0.0,5
-91.27560387747063,-3.9864690162413274,0.0,6
-103.09827838079174,-4.500067634979094,0.0,7
-113.02164712559994,-5.171725817150938,0.0,8
-121.9059262776478,-5.977721050421705,0.0,9
-130.24294714565085,-7.490410635325466,0.0,10
-141.43693717669024,-11.018173298119695,0.0,11
-154.8131004918742,-17.944369743223366,0.0,12
-164.75534112148642,-23.9230755050229,0.0,13
-176.32034618944925,-33.63323218964478,0.0,14
-185.1028663728587,-43.92035895879348,0.0,15
-194.22927283726676,-58.94315101870156,0.0,16
-200.45797562889393,-71.55453898419718,0.0,17
-204.83162474938172,-86.38132841431413,0.0,18
-206.17472721129866,-95.42163195164545,0.0,19
-206.6476199416477,-107.29490669620289,0.0,20
-206.18431275145846,-118.40287748742861,0.0,21
-204.00659511700496,-130.114561544424,0.0,22
-201.1799639398216,-140.5881517853938,0.0,23
-196.74995155103787,-150.91429057299814,0.0,24
-190.10245127242285,-162.68508053520011,0.0,25
-182.81473161755537,-172.63323053040605,0.0,26
-175.97113727808676,-180.47789519652696,0.0,27
-163.75785441918003,-191.01735477459735,0.0,28
-151.1957741811671,-198.8735045641976,0.0,29
-139.78108776548913,-203.87390922825995,0.0,30
-126.32493276642211,-208.42909113374404,0.0,31
-115.90724481735327,-210.1374660082616,0.0,32
-104.93142069209193,-211.42098251404167,0.0,33
-85.59370381934315,-211.69622444113273,0.0,34
-65.80110000012722,-211.12793077718467,0.0,35
-36.72172049475526,-210.32101226181635,0.0,36
-13.346339242403083,-210.03206283373817,0.0,37
10.604348456547129,-209.8017939679894,0.0,38
34.302682581617844,-209.45715617252273,0.0,39
55.761797905751024,-209.11185892812964,0.0,40
79.33287263561702,-208.8254090256607,0.0,41
95.1820221270954,-208.26468902688345,0.0,42
103.36133781792537,-207.57573129822134,0.0,43
112.50937366978334,-206.08898295329777,0.0,44
120.74233199572872,-204.22896966341648,0.0,45
129.7527805288611,-201.11276214377438,0.0,46
138.40464934701853,-196.7170158168429,0.0,47
145.95077253464586,-192.54440453069992,0.0,48
151.92064984203745,-188.94803240822068,0.0,49
157.15203508725148,-184.58750977060794,0.0,50
162.62302878298988,-179.6031106267716,0.0,51
167.88324202713446,-173.38972676423916,0.0,52
173.55527758068308,-166.2432484202842,0.0,53
178.18123534864375,-160.22643657102142,0.0,54
182.02531421096995,-153.95468100042336,0.0,55
186.13780214611833,-144.28397856887705,0.0,56
188.13140220886845,-140.0700338642529,0.0,57
189.80332693711767,-135.12727392837522,0.0,58
191.9870136171067,-125.52185618275678,0.0,59
193.22250514403464,-117.25159376873088,0.0,60
193.62684111549729,-110.04419478450757,0.0,61
193.4144310579041,-100.77324644613546,0.0,62
192.69199656602063,-91.035061708898,0.0,63
190.73260511849384,-82.02792212924629,0.0,64
187.93653938256273,-71.33946605502796,0.0,65
185.30293698578794,-63.92609214768862,0.0,66
182.44949754396936,-57.342086949646635,0.0,67
179.0004674859438,-51.4060511169293,0.0,68
174.73880242718081,-45.29383126225829,0.0,69
168.52857174931466,-37.89654567099418,0.0,70
161.63216138451702,-30.65321406503704,0.0,71
154.96646782053148,-24.68175704898698,0.0,72
149.28416706063848,-20.60685673629216,0.0,73
138.66420875704523,-13.82186122898882,0.0,74
129.9489958132499,-9.395473777670745,0.0,75
120.8998081739351,-5.963308380694384,0.0,76
110.41248178881864,-3.5416383420414275,0.0,77
103.21348881572007,-2.199368985720223,0.0,78
89.94119773101012,-1.1785577537932093,0.0,79
67.27564287689785,-0.7861642362655639,0.0,80
53.435362399784914,-1.1250760736398393,0.0,81
