x,y,z,
-74.0525,7.76448,0,
-103.42,7.16124,0,
-127.408,4.64528,0,
-154.957,-5.85953,0,
-187.388,-31.4572,0,
-210.676,-68.3272,0,
-216.657,-92.5414,0,
-217.039,-107.051,0,
-216.294,-127.28,0,
-213.593,-141.686,0,
-204.38,-162.406,0,
-195.061,-177.068,0,
-183.665,-189.703,0,
-168.677,-201.526,0,
-147.921,-213.223,0,
-117.903,-222.357,0,
97.3186,-219.617,0,
126.84,-213.445,0,
151.849,-200.014,0,
172.465,-184.77,0,
189.945,-162.622,0,
199.452,-142.623,0,
205.424,-115.506,0,
205.335,-93.0684,0,
198.594,-64.8682,0,
187.023,-44.0718,0,
172.813,-25.301,0,
154.677,-10.1269,0,
130.216,3.44453,0,
102.357,9.21627,0,
88.5966,9.79658,0,
